Week,Query,Page,Clicks,Impressions,CTR,Position
1,électrolyseur alcalin,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,13,44,0.29545454545454547,1
1,electrolyseur alcalin,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,9,19,0.47368421052631576,1
1,électrolyseurs alcalins,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,7,28,0.25,1.9642857142857144
1,thermolyse de la biomasse,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/pyrogazeification-pyrolyse-thermolyse-biomasse/,5,7,0.7142857142857143,1
1,électrolyse de l'eau,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/,5,369,0.013550135501355014,9.086720867208673
1,électrolyseur pem,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/electrolyse-pem/,5,24,0.20833333333333334,1.125
1,electrolyse de l'eau,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/,4,246,0.016260162601626018,8.682926829268293
1,l'électrolyse,https://www.discoverthegreentech.com/definitions/electrolyse/,4,17,0.23529411764705882,17.352941176470587
1,les hydrures métalliques,https://www.hydrogene.discoverthegreentech.com/stockage/hydrures-metalliques/,4,15,0.26666666666666666,1.0666666666666667
1,électrolyse alcaline,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,4,15,0.26666666666666666,1
1,biosourcing,https://www.discoverthegreentech.com/definitions/biosourcing/,3,17,0.17647058823529413,1.5294117647058822
1,dirigeable hindenburg,https://www.blog.discoverthegreentech.com/crash-hindenburg-1937/,3,957,0.003134796238244514,9.661442006269592
1,electrolyse alcaline,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/alcaline/,3,8,0.375,1
1,electrolyse haute température,https://www.blog.discoverthegreentech.com/electrolyse-haute-temperature-cea/,3,5,0.6,2
1,electrolyse pem,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/electrolyse-pem/,3,17,0.17647058823529413,2
1,hydrogen power paste,https://www.blog.discoverthegreentech.com/powerpaste-pate-stocker-hydrogene/,3,32,0.09375,7.90625
1,hydrolyse de l'eau,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/,3,128,0.0234375,6.515625
1,hydrure métallique,https://www.hydrogene.discoverthegreentech.com/stockage/hydrures-metalliques/,3,51,0.058823529411764705,2.9607843137254903
1,powerpaste,https://www.blog.discoverthegreentech.com/powerpaste-pate-stocker-hydrogene/,3,27,0.1111111111111111,6.037037037037037
1,powerpaste hydrogen,https://www.blog.discoverthegreentech.com/powerpaste-pate-stocker-hydrogene/,3,11,0.2727272727272727,8.727272727272727
1,procédé haber bosch,https://www.blog.discoverthegreentech.com/procede-haber-bosch-nourrir-la-terre/,3,89,0.033707865168539325,4.348314606741573
1,stockage de l'hydrogène dans les hydrures métalliques,https://www.hydrogene.discoverthegreentech.com/stockage/hydrures-metalliques/,3,9,0.3333333333333333,2
1,thermolyse biomasse,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/pyrogazeification-pyrolyse-thermolyse-biomasse/,3,7,0.42857142857142855,1.2857142857142856
1,vaporeformage,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/vaporeformage-methane/,3,128,0.0234375,5.546875
1,biomimétisme,https://www.discoverthegreentech.com/definitions/biomimetisme/,2,617,0.0032414910858995136,10.021069692058347
1,green tech définition,https://www.discoverthegreentech.com/definitions/definition-greentech/,2,15,0.13333333333333333,3.7333333333333334
1,hydrogene liquide,https://www.hydrogene.discoverthegreentech.com/atome/hydrogene-liquide/,2,37,0.05405405405405406,10.621621621621621
1,hydrures métalliques,https://www.hydrogene.discoverthegreentech.com/stockage/hydrures-metalliques/,2,22,0.09090909090909091,1.5454545454545454
1,impact de l'élevage sur l'environnement,https://www.discoverthegreentech.com/limpact-environnemental-elevage/,2,28,0.07142857142857142,7.642857142857143
1,juliette leboda,https://www.blog.discoverthegreentech.com/interview-juliette-leboda/,2,13,0.15384615384615385,3.076923076923077
1,rendement electrolyse,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/,2,26,0.07692307692307693,6
1,rendement électrolyse de l'eau,https://www.hydrogene.discoverthegreentech.com/production-hydrogene/electrolyse/,2,7,0.2857142857142857,2.857142857142857
